Gid	gname	chr	start	end	dN_dS	dN	dS
TRINITY_DN121847_c1_g2_i1	ID=Xetrov90001669mgName=theg-like]THEG_MOUSETHEG_MOUSEQ	Chr01	86248597	86277663	0.1609	0.3004	1.8676
TRINITY_DN121916_c5_g1_i2	ID=Xetrov90000693mgName=dlc1]RHG07_CANLFRHG07_CANLFQ	Chr01	31801414	31856441	0.0508	0.067	1.3205
TRINITY_DN121953_c0_g1_i1	ID=Xetrov90002231mgName=smarca2-like]SMCA2_MOUSESMCA2_MOUSEQ	Chr01	115952637	116055493	0.0312	0.0438	1.404
TRINITY_DN121969_c1_g2_i1	ID=Xetrov90001549mgName=myo1f]MYO1F_HUMANMYO1F_HUMANQ	Chr01	83073653	83113262	0.0474	0.0714	1.5058
TRINITY_DN121983_c4_g1_i6	ID=Xetrov90001853mgName=dnajc25]DJC25_XENTRDJC25_XENTRQ	Chr01	95660054	95669190	0.0725	0.1076	1.4831
TRINITY_DN121986_c0_g2_i2	ID=Xetrov90022408mgName=cfap45]CFA45_HUMANCFA45_HUMANQ	Chr08	115240803	115254191	0.6253	0.9037	1.4453
TRINITY_DN121993_c1_g1_i1	ID=Xetrov90001394mgName=fut10]FUT10_XENLAFUT10_XENLAQ	Chr01	77794396	77802048	0.0808	0.1467	1.8153
TRINITY_DN122029_c0_g1_i9	ID=Xetrov90001531mgName=ranbp3]RANB3_MACFARANB3_MACFAQ	Chr01	82791892	82823787	0.0642	0.085	1.3239
TRINITY_DN122031_c7_g1_i9	ID=Xetrov90001215mgName=bmpr1b]BMR1B_HUMANBMR1B_HUMANQ	Chr01	66712593	66777201	0.018	0.0196	1.0876
TRINITY_DN122061_c1_g1_i3	ID=Xetrov90003270mgName=lmnb1]LAML1_XENLALAML1_XENLAQ	Chr01	159727673	159739191	0.0652	0.1234	1.8935
TRINITY_DN122064_c3_g1_i1	ID=Xetrov90001220mgName=hpgds]HPGDS_MOUSEHPGDS_MOUSEQ	Chr01	67343868	67361493	0.1756	0.2909	1.6565
TRINITY_DN122069_c4_g2_i4	ID=Xetrov90002737mgName=epb41l4a]E41LA_HUMANE41LA_HUMANQ	Chr01	134852843	134975957	0.0703	0.0683	0.9716
TRINITY_DN122090_c5_g1_i9	ID=Xetrov90000509mgName=afap1]AFAP1_CHICKAFAP1_CHICKQ	Chr01	19754013	19844919	0.0403	0.0738	1.8332
TRINITY_DN122091_c5_g3_i2	ID=Xetrov90000395mgName=fam53a]FA53A_CHICKFA53A_CHICKQ	Chr01	13456936	13507012	0.107	0.1231	1.1504
TRINITY_DN122171_c1_g3_i1	ID=Xetrov90002093mgName=acer2]ACER2_HUMANACER2_HUMANQ	Chr01	106914652	106936050	0.0341	0.0407	1.195
TRINITY_DN122178_c1_g1_i2	ID=Xetrov90003167mgName=aldh2]ALDH2_BOVINALDH2_BOVINQ	Chr01	154363072	154381903	0.0315	0.0449	1.4231
TRINITY_DN122210_c0_g1_i10	ID=Xetrov90000747mgName=acsl1]ACSL1_CAVPOACSL1_CAVPOQ	Chr01	35491194	35534391	0.0517	0.0711	1.3755
TRINITY_DN122212_c0_g1_i1	ID=Xetrov90001079mgName=sec24b]SC24B_HUMANSC24B_HUMANQ	Chr01	58234143	58279382	0.1091	0.1506	1.381
TRINITY_DN122234_c2_g7_i1	ID=Xetrov90001451mgName=apc2]APC2_HUMANAPC2_HUMANQ	Chr01	80479519	80502913	0.0963	0.1632	1.6944
TRINITY_DN122241_c2_g1_i3	ID=Xetrov90003790mgName=rpl17]RL17_RATRL17_RATQ	Chr01	192533163	192539608	0.0212	0.0196	0.9228
TRINITY_DN122246_c4_g1_i4	ID=Xetrov90001492mgName=ptbp1]PTBP1_PIGPTBP1_PIGQ	Chr01	81914698	81933683	0.0319	0.0443	1.3857
TRINITY_DN122275_c3_g3_i1	ID=Xetrov90001397mgName=ubxn8-like]UBXN8_BOVINUBXN8_BOVINQ	Chr01	78494518	78513816	0.2377	0.3254	1.369
TRINITY_DN122320_c3_g1_i1	ID=Xetrov90002317mgName=agtpbp1]CBPC1_XENTRCBPC1_XENTRQ	Chr01	122452456	122525652	0.069	0.1028	1.4902
TRINITY_DN122377_c1_g1_i6	ID=Xetrov90002051mgName=lpar1]LPA11_XENLALPA11_XENLAQ	Chr01	103413667	103474133	0.0277	0.0283	1.0226
TRINITY_DN122394_c1_g3_i1	ID=Xetrov90000496mgName=msx1]HOX71_XENLAHOX71_XENLAQ	Chr01	18950075	18953357	0.0762	0.1031	1.3527
TRINITY_DN122403_c3_g1_i1	ID=Xetrov90001934mgName=MGC147419]OCLN_POTTROCLN_POTTRQ	Chr01	99496874	99510370	0.0744	0.1187	1.5943
TRINITY_DN122455_c1_g1_i5	ID=Xetrov90001923mgName=fcho1]FCHO1_HUMANFCHO1_HUMANQ	Chr01	99026014	99070868	0.0988	0.164	1.6606
TRINITY_DN122473_c2_g2_i1	ID=Xetrov90001748mgName=cops4]CSN4_MOUSECSN4_MOUSEQ	Chr01	89976352	89989278	0.0089	0.0142	1.5984
TRINITY_DN122491_c0_g1_i10	ID=Xetrov90001320mgName=apba3-like]APBA3_HUMANAPBA3_HUMANQ	Chr01	74393757	74415393	0.1249	0.2252	1.8032
TRINITY_DN122509_c0_g1_i5	ID=Xetrov90002637mgName=ndrg2]NDRG2_XENTRNDRG2_XENTRQ	Chr01	131181710	131218210	0.0919	0.0615	0.669
TRINITY_DN122535_c2_g4_i1	ID=Xetrov90002177mgName=ttc39b]TT39B_XENLATT39B_XENLAQ	Chr01	111805496	111863748	0.0441	0.0693	1.5732
TRINITY_DN122541_c1_g2_i1	ID=Xetrov90003680mgName=brix1]BRX1_XENLABRX1_XENLAQ	Chr01	185997584	186004037	0.0556	0.0996	1.7908
TRINITY_DN122628_c4_g2_i2	ID=Xetrov90003636mgName=c9]CO9_MOUSECO9_MOUSEQ	Chr01	183650566	183668234	0.1889	0.3695	1.9565
TRINITY_DN122647_c3_g1_i1	ID=Xetrov90002413mgName=homez]HOMEZ_RATHOMEZ_RATQ	Chr01	127437443	127446626	0.2026	0.3458	1.7065
TRINITY_DN122709_c0_g1_i2	]SEM4D_HUMANSEM4D_HUMANQ	Chr01	125685068	125760901	0.1463	0.2027	1.386
TRINITY_DN122711_c1_g1_i1	ID=Xetrov90001538mgName=acsbg2]ACBG2_XENLAACBG2_XENLAQ	Chr01	82950824	82971828	0.0579	0.0927	1.6019
TRINITY_DN122727_c0_g1_i1	ID=Xetrov90000952mgName=abce1]ABCE1_MOUSEABCE1_MOUSEQ	Chr01	49660265	49675899	0.0202	0.0228	1.1276
TRINITY_DN122727_c1_g1_i1	ID=Xetrov90000950mgName=anapc10]APC10_HUMANAPC10_HUMANQ	Chr01	49632803	49660484	0.0046	0.0049	1.0682
TRINITY_DN122834_c4_g2_i2	ID=Xetrov90002668mgName=MGC107841]ACD11_CAEELACD11_CAEELQ	Chr01	132118453	132139330	0.0868	0.1606	1.8495
TRINITY_DN122874_c4_g1_i2	ID=Xetrov90001668mgName=mier2-like]MIER2_HUMANMIER2_HUMANQ	Chr01	86231434	86242214	0.2234	0.375	1.6783
TRINITY_DN122936_c6_g2_i2	ID=Xetrov90001519mgName=angptl4]ANGL4_MOUSEANGL4_MOUSEQ	Chr01	82450878	82459780	0.1241	0.2251	1.8139
TRINITY_DN122954_c1_g1_i7	ID=Xetrov90002091mgName=rps6]RS6_XENLARS6_XENLAQ	Chr01	106900207	106908614	0.0086	0.0072	0.8406
TRINITY_DN123019_c4_g1_i4	ID=Xetrov90001515mgName=ndufa7-like]NDUA7_GORGONDUA7_GORGOQ	Chr01	82316649	82323691	0.1909	0.2691	1.4093
TRINITY_DN123025_c4_g2_i2	ID=Xetrov90000987mgName=LOC733556]	Chr01	51640120	51650709	0.0909	0.1514	1.6653
TRINITY_DN123045_c9_g2_i1	ID=Xetrov90001180mgName=slc39a8-like]S39A8_RATS39A8_RATQ	Chr01	64337744	64370414	0.1497	0.2456	1.6405
TRINITY_DN123071_c0_g2_i2	ID=Xetrov90001407mgName=ppp1r3b]PPR3B_XENTRPPR3B_XENTRQ	Chr01	79031762	79040649	0.0881	0.1468	1.6658
TRINITY_DN123092_c2_g1_i1	ID=Xetrov90001427mgName=ap1m1]AP1M1_HUMANAP1M1_HUMANQ	Chr01	79874854	79888349	0.001	0.0012	1.2132
TRINITY_DN123094_c2_g1_i2	ID=Xetrov90001367mgName=slc20a2]S20A2_XENTRS20A2_XENTRQ	Chr01	75765623	75791224	0.0592	0.0718	1.2133
TRINITY_DN123127_c5_g4_i1	ID=Xetrov90000379mgName=mxd4]MAD4_HUMANMAD4_HUMANQ	Chr01	12228237	12265756	0.0246	0.0182	0.7405
TRINITY_DN123149_c3_g1_i1	ID=Xetrov90002420mgName=cmtm5]CKLF5_MOUSECKLF5_MOUSEQ	Chr01	127540968	127548018	0.1556	0.2039	1.3108
TRINITY_DN123159_c2_g2_i2	ID=Xetrov90000929mgName=ttc29-like]TTC29_XENLATTC29_XENLAQ	Chr01	48527193	48662196	0.2547	0.1781	0.6992
TRINITY_DN123168_c7_g1_i2	ID=Xetrov90002856mgName=pla2g1b]PA21B_PIGPA21B_PIGQ	Chr01	143115482	143118861	0.1418	0.2737	1.9303
TRINITY_DN123170_c0_g1_i3	ID=Xetrov90001256mgName=uso1-like]USO1_MOUSEUSO1_MOUSEQ	Chr01	70085904	70121943	0.0516	0.0921	1.7839
TRINITY_DN123185_c1_g1_i1	ID=Xetrov90000338mgName=ptcd3]PTCD3_XENLAPTCD3_XENLAQ	Chr01	11285961	11300692	0.1595	0.2862	1.7942
TRINITY_DN123188_c6_g3_i1	ID=Xetrov90001737mgName=tmprss11f-like]TM11D_HUMANTM11D_HUMANQ	Chr01	88927334	88948389	0.253	0.3888	1.5366
TRINITY_DN123225_c4_g1_i1	ID=Xetrov90001227mgName=ccser1]CCSE1_BOVINCCSE1_BOVINQ	Chr01	68697039	68793499	0.1789	0.2621	1.465
TRINITY_DN123238_c3_g1_i1	ID=Xetrov90003423mgName=atg10-like]ATG10_MOUSEATG10_MOUSEQ	Chr01	168180809	168234014	0.2063	0.2454	1.1893
TRINITY_DN123245_c1_g1_i8	ID=Xetrov90003123mgName=LOC101733994]	Chr01	153243401	153246582	0.1738	0.2626	1.5108
TRINITY_DN123308_c0_g3_i5	ID=Xetrov90003343mgName=LOC100494836]AP3B1_HUMANAP3B1_HUMANQ	Chr01	164238376	164392118	0.0804	0.1016	1.2634
TRINITY_DN123311_c0_g1_i2	ID=Xetrov90000450mgName=clrn2]CLRN2_HUMANCLRN2_HUMANQ	Chr01	16463294	16470538	0.0469	0.091	1.9409
TRINITY_DN123389_c1_g3_i1	ID=Xetrov90000826mgName=msmo1]MSMO1_CHICKMSMO1_CHICKQ	Chr01	42074453	42083251	0.0542	0.0809	1.493
TRINITY_DN123423_c0_g1_i10	ID=Xetrov90002501mgName=Xetrov90002501mg]HVM16_MOUSEHVM16_MOUSEQ	Chr01	128769020	128770151	0.3366	0.2672	0.7938
TRINITY_DN123492_c2_g1_i5	ID=Xetrov90002732mgName=reep5]REEP5_HUMANREEP5_HUMANQ	Chr01	134723110	134747970	0.0871	0.1065	1.2227
TRINITY_DN123500_c4_g1_i2	ID=Xetrov90001696mgName=fkbp8]FKBP8_HUMANFKBP8_HUMANQ	Chr01	87448898	87470687	0.1156	0.1533	1.3264
TRINITY_DN123551_c2_g2_i4	ID=Xetrov90002020mgName=LOC100489521]MIC13_DANREMIC13_DANREQ	Chr01	102150360	102154994	0.1002	0.117	1.1683
TRINITY_DN123579_c0_g1_i3	ID=Xetrov90001958mgName=c19orf44-like]CS044_HUMANCS044_HUMANQ	Chr01	100150869	100161011	0.1759	0.3173	1.8041
TRINITY_DN123634_c3_g1_i2	ID=Xetrov90003281mgName=csnk1g3]KC1G3_HUMANKC1G3_HUMANQ	Chr01	160600427	160667120	0.0053	0.0041	0.7694
TRINITY_DN123825_c3_g1_i6	ID=Xetrov90001548mgName=znf414]ZN414_BOVINZN414_BOVINQ	Chr01	83053518	83067262	0.1828	0.2848	1.5576
TRINITY_DN123852_c2_g2_i1	ID=Xetrov90002867mgName=coq5]COQ5_XENLACOQ5_XENLAQ	Chr01	143242361	143249693	0.0699	0.1294	1.8523
TRINITY_DN123882_c0_g2_i2	ID=Xetrov90003515mgName=ppwd1]PPWD1_HUMANPPWD1_HUMANQ	Chr01	175041378	175050649	0.0251	0.0458	1.8262
TRINITY_DN123892_c2_g2_i3	ID=Xetrov90002268mgName=zfand5]ZFAN5_HUMANZFAN5_HUMANQ	Chr01	118277788	118307720	0.0648	0.0633	0.9766
TRINITY_DN123915_c10_g1_i3	ID=Xetrov90002246mgName=pgm5]PGM5_MOUSEPGM5_MOUSEQ	Chr01	116876531	116952101	0.0452	0.0523	1.157
TRINITY_DN123924_c5_g1_i4	ID=Xetrov90000750mgName=Xetrov90000750mg]PRIPO_HUMANPRIPO_HUMANQ	Chr01	35584180	35597119	0.1246	0.2465	1.9777
TRINITY_DN123992_c0_g1_i2	ID=Xetrov90002815mgName=LOC100496989]CLU_XENTRCLU_XENTRQ	Chr01	140237270	140258219	0.0696	0.1222	1.7546
TRINITY_DN124084_c3_g1_i1	ID=Xetrov90003059mgName=fzd10]FZ10B_XENLAFZ10B_XENLAQ	Chr01	149678661	149681870	0.0253	0.0433	1.7079
TRINITY_DN124132_c4_g1_i1	ID=Xetrov90003476mgName=ell2]ELL2_MOUSEELL2_MOUSEQ	Chr01	172702126	172737990	0.1009	0.0906	0.8981
TRINITY_DN124165_c2_g2_i7	ID=Xetrov90003188mgName=rpl6]RL6_RATRL6_RATQ	Chr01	155226594	155232331	0.0658	0.0838	1.2735
TRINITY_DN124196_c0_g1_i1	ID=Xetrov90001007mgName=LOC100135109]CD033_DANRECD033_DANREQ	Chr01	54415657	54465951	0.1309	0.1659	1.2671
TRINITY_DN124198_c3_g1_i3	ID=Xetrov90002419mgName=efs]EFS_HUMANEFS_HUMANQ	Chr01	127517336	127538011	0.1217	0.2082	1.7112
TRINITY_DN124209_c5_g2_i1	ID=Xetrov90001425mgName=mex3d]MEX3D_HUMANMEX3D_HUMANQ	Chr01	79764930	79769120	0.0958	0.1848	1.9294
TRINITY_DN124228_c0_g1_i6	ID=Xetrov90003393mgName=smn2]SMN_MOUSESMN_MOUSEQ	Chr01	167230057	167237139	0.0971	0.1354	1.3945
TRINITY_DN124262_c0_g2_i1	ID=Xetrov90002412mgName=slc7a8]LAT2_MOUSELAT2_MOUSEQ	Chr01	127346709	127380833	0.0176	0.0201	1.1441
TRINITY_DN124267_c4_g1_i6	ID=Xetrov90002124mgName=elavl2]ELAV2_XENLAELAV2_XENLAQ	Chr01	109575141	109627021	0.0104	0.0114	1.0934
TRINITY_DN124290_c1_g1_i2	ID=Xetrov90000696mgName=msr1]MSRE_MOUSEMSRE_MOUSEQ	Chr01	32745277	32773392	0.2439	0.3989	1.6358
TRINITY_DN124326_c2_g1_i2	ID=Xetrov90000264mgName=cyp26b1]CP26B_XENTRCP26B_XENTRQ	Chr01	8565908	8587456	0.0329	0.0456	1.3847
TRINITY_DN124342_c8_g1_i2	ID=Xetrov90002995mgName=ppil2]PPIL2_HUMANPPIL2_HUMANQ	Chr01	145672928	145701969	0.039	0.0636	1.6304
TRINITY_DN124343_c6_g1_i5	ID=Xetrov90002382mgName=syk]KSYK_HUMANKSYK_HUMANQ	Chr01	126264199	126283643	0.1006	0.1422	1.4139
TRINITY_DN124367_c0_g1_i15	ID=Xetrov90001467mgName=stk11]STK11_XENLASTK11_XENLAQ	Chr01	81121898	81154360	0.0282	0.0382	1.355
TRINITY_DN124456_c4_g1_i3	ID=Xetrov90001869mgName=snx30]SNX30_XENLASNX30_XENLAQ	Chr01	96226338	96265154	0.0351	0.0462	1.3147
TRINITY_DN124467_c11_g1_i3	ID=Xetrov90002980mgName=pi4ka]PI4KA_HUMANPI4KA_HUMANQ	Chr01	145191117	145255495	0.0245	0.0336	1.3718
TRINITY_DN124506_c2_g3_i2	ID=Xetrov90000882mgName=fgb]FIBB_CHICKFIBB_CHICKQ	Chr01	45300519	45307706	0.1034	0.152	1.4696
TRINITY_DN124515_c4_g1_i2	ID=Xetrov90001543mgName=acer1]ACER1_DANREACER1_DANREQ	Chr01	82999836	83015062	0.1589	0.208	1.309
TRINITY_DN124622_c3_g1_i1	ID=Xetrov90001939mgName=babam1]BABA1_XENLABABA1_XENLAQ	Chr01	99579064	99594534	0.0643	0.0824	1.2798
TRINITY_DN124639_c4_g2_i1	ID=Xetrov90003025mgName=zdhhc8]ZDHC8_HUMANZDHC8_HUMANQ	Chr01	146921265	146977162	0.0567	0.0638	1.1251
TRINITY_DN124643_c3_g1_i4	ID=Xetrov90003739mgName=tcf4]ITF2_HUMANITF2_HUMANQ	Chr01	189635978	189898242	0.0468	0.0488	1.0418
TRINITY_DN124643_c3_g3_i1	ID=Xetrov90003226mgName=znrf3]ZNRF3_XENTRZNRF3_XENTRQ	Chr01	157612314	157693549	0.0628	0.0677	1.0779
TRINITY_DN124644_c1_g3_i2	ID=Xetrov90002662mgName=LOC734097-like]SF3A1_HUMANSF3A1_HUMANQ	Chr01	131918372	131935532	0.0283	0.0417	1.4753
TRINITY_DN124645_c0_g1_i1	ID=Xetrov90002719mgName=Xetrov90002719mg]HVM46_MOUSEHVM46_MOUSEQ	Chr01	133873743	133874243	0.2996	0.2301	0.768
TRINITY_DN124777_c4_g7_i1	ID=Xetrov90001685mgName=fstl3]FSTL3_HUMANFSTL3_HUMANQ	Chr01	86773131	86797846	0.0903	0.1062	1.1756
TRINITY_DN124785_c1_g2_i1	ID=Xetrov90003677mgName=Xetrov90003677mg]AGT2_HUMANAGT2_HUMANQ	Chr01	185960157	185975941	0.1536	0.2198	1.4313
TRINITY_DN124853_c0_g3_i2	ID=Xetrov90002632mgName=LOC100496006]S39A1_DANRES39A1_DANREQ	Chr01	130992669	130996940	0.1608	0.2179	1.3548
TRINITY_DN124902_c1_g3_i2	ID=Xetrov90002727mgName=ythdc2-like]YTDC2_MOUSEYTDC2_MOUSEQ	Chr01	134470218	134516147	0.0783	0.1227	1.5672
TRINITY_DN124909_c1_g1_i1	ID=Xetrov90001890mgName=LOC100493491-like]THAP2_HUMANTHAP2_HUMANQ	Chr01	96989398	96993291	0.0827	0.1489	1.8003
TRINITY_DN124924_c2_g1_i1	ID=Xetrov90001368mgName=bmp2k]BMP2K_MOUSEBMP2K_MOUSEQ	Chr01	75889780	75954407	0.0923	0.1295	1.4027
TRINITY_DN124981_c1_g2_i1	ID=Xetrov90000695mgName=tusc3]TUSC3_MOUSETUSC3_MOUSEQ	Chr01	32624515	32715779	0.0191	0.0217	1.1393
TRINITY_DN125002_c1_g1_i2	ID=Xetrov90003215mgName=pebp1]PEBP1_MACFAPEBP1_MACFAQ	Chr01	156785559	156793299	0.0853	0.1122	1.3151
TRINITY_DN125010_c2_g1_i1	ID=Xetrov90001977mgName=srp72]SRP72_HUMANSRP72_HUMANQ	Chr01	100771709	100789043	0.0569	0.0908	1.5953
TRINITY_DN125020_c3_g1_i6	ID=Xetrov90002689mgName=rasal1]RASL1_HUMANRASL1_HUMANQ	Chr01	132644324	132677554	0.0473	0.064	1.3547
TRINITY_DN125059_c2_g1_i1	ID=Xetrov90000539mgName=ncapg]CND3_XENLACND3_XENLAQ	Chr01	23327161	23349471	0.0709	0.1396	1.9691
TRINITY_DN125065_c1_g2_i2	ID=Xetrov90002887mgName=Xetrov90002887mg]4ET_HUMAN4ET_HUMANQ	Chr01	143564540	143581570	0.0892	0.1237	1.387
TRINITY_DN125110_c6_g2_i1	ID=Xetrov90002279mgName=LOC100487522]	Chr01	119228394	119230842	0.151	0.291	1.9268
TRINITY_DN125121_c2_g1_i1	ID=Xetrov90002838mgName=LOC100485518]LR74B_HUMANLR74B_HUMANQ	Chr01	141933296	141953790	0.1528	0.2166	1.4173
TRINITY_DN125122_c5_g4_i1	ID=Xetrov90002205mgName=cd274]PD1L1_HUMANPD1L1_HUMANQ	Chr01	114819576	114823575	0.2499	0.4859	1.9446
TRINITY_DN125176_c0_g2_i2	ID=Xetrov90003831mgName=LOC101734499]AP4A_HUMANAP4A_HUMANQ	Chr01	194545810	194549200	0.1181	0.1647	1.395
TRINITY_DN125202_c0_g1_i6	ID=Xetrov90003217mgName=taok3]TAOK3_XENLATAOK3_XENLAQ	Chr01	156808132	156893023	0.0389	0.0238	0.6112
TRINITY_DN125214_c2_g1_i9	ID=Xetrov90003269mgName=march3]MARH3_XENLAMARH3_XENLAQ	Chr01	159613457	159722865	0.0236	0.0128	0.5416
TRINITY_DN125375_c3_g2_i3	ID=Xetrov90001185mgName=ppp3ca]PP2BA_HUMANPP2BA_HUMANQ	Chr01	64673197	64798381	0.0426	0.0221	0.5194
TRINITY_DN125434_c0_g1_i1	ID=Xetrov90003587mgName=snx18]SNX18_MOUSESNX18_MOUSEQ	Chr01	179119289	179139652	0.0413	0.0775	1.8775
TRINITY_DN125452_c3_g1_i6	ID=Xetrov90002728mgName=mcc]CRCM_HUMANCRCM_HUMANQ	Chr01	134541797	134702634	0.017	0.0252	1.4829
TRINITY_DN125499_c0_g2_i4	ID=Xetrov90002186mgName=tyrp1]TYRP1_AMBMETYRP1_AMBMEQ	Chr01	112743807	112754316	0.0813	0.1295	1.5938
TRINITY_DN125519_c2_g1_i1	ID=Xetrov90002417mgName=bcl2l2]AR1_XENLAAR1_XENLAQ	Chr01	127483255	127500866	0.0413	0.0539	1.3057
TRINITY_DN125534_c0_g1_i3	ID=Xetrov90003290mgName=ppic-like]PPIC_HUMANPPIC_HUMANQ	Chr01	160879452	160892393	0.1038	0.1589	1.5305
TRINITY_DN125549_c2_g1_i1	ID=Xetrov90003129mgName=b3gnt4]B3GN4_HUMANB3GN4_HUMANQ	Chr01	153302330	153303421	0.1364	0.1988	1.4573
TRINITY_DN125554_c3_g1_i1	ID=Xetrov90002792mgName=trpv4-like]TRPV4_HUMANTRPV4_HUMANQ	Chr01	138736961	138773387	0.0586	0.0754	1.2857
TRINITY_DN125582_c1_g1_i1	ID=Xetrov90002828mgName=mn1]MN1_HUMANMN1_HUMANQ	Chr01	141466689	141510864	0.0952	0.078	0.8189
TRINITY_DN125628_c5_g1_i2	ID=Xetrov90001710mgName=LOC100127812]FA47E_HUMANFA47E_HUMANQ	Chr01	88235953	88247533	0.1551	0.2523	1.627
TRINITY_DN125636_c2_g1_i3	ID=Xetrov90003758mgName=mex3c]MEX3C_HUMANMEX3C_HUMANQ	Chr01	191308852	191321307	0.0728	0.0903	1.2403
TRINITY_DN125658_c2_g3_i5	ID=Xetrov90003528mgName=kif2a-like]KIF2A_HUMANKIF2A_HUMANQ	Chr01	176094608	176132620	0.0203	0.031	1.525
TRINITY_DN125668_c2_g1_i8	ID=Xetrov90003183mgName=trafd1]TRAD1_BOVINTRAD1_BOVINQ	Chr01	155097295	155116468	0.1901	0.3796	1.9969
TRINITY_DN125673_c1_g1_i7	ID=Xetrov90003243mgName=lztr1]LZTR1_PONABLZTR1_PONABQ	Chr01	158112593	158139057	0.0319	0.0435	1.3638
TRINITY_DN125685_c1_g1_i6	ID=Xetrov90003011mgName=tbx1]TBX1_XENTRTBX1_XENTRQ	Chr01	146172645	146191738	0.0203	0.0171	0.8396
TRINITY_DN125690_c0_g1_i2	ID=Xetrov90002947mgName=Xetrov90002947mg]LV1D_MOUSELV1D_MOUSEQ	Chr01	144772824	144773341	0.2611	0.3612	1.3833
TRINITY_DN125690_c0_g2_i1	ID=Xetrov90002958mgName=Xetrov90002958mg]VPRE1_MOUSEVPRE1_MOUSEQ	Chr01	144851128	144851701	0.2007	0.2515	1.2534
TRINITY_DN125698_c3_g1_i4	ID=Xetrov90000700mgName=zdhhc2]ZDHC2_HUMANZDHC2_HUMANQ	Chr01	33018188	33068170	0.047	0.0418	0.8901
TRINITY_DN125721_c0_g2_i4	ID=Xetrov90001382mgName=hgsnat]HGNAT_HUMANHGNAT_HUMANQ	Chr01	77083186	77109663	0.1069	0.1955	1.829
TRINITY_DN125771_c1_g1_i1	ID=Xetrov90001971mgName=homer3]HOME3_HUMANHOME3_HUMANQ	Chr01	100462095	100504976	0.0567	0.0904	1.5938
TRINITY_DN125772_c5_g1_i3	ID=Xetrov90001081mgName=pyurf]PREY_XENTRPREY_XENTRQ	Chr01	58346443	58347953	0.1634	0.2999	1.8362
TRINITY_DN125797_c6_g5_i2	ID=Xetrov90001240mgName=mob1b]MOB1B_MOUSEMOB1B_MOUSEQ	Chr01	69566339	69598667	0.0157	0.0163	1.0356
TRINITY_DN125799_c1_g1_i6	ID=Xetrov90003115mgName=kntc1]KNTC1_HUMANKNTC1_HUMANQ	Chr01	152996336	153073661	0.0796	0.127	1.5944
TRINITY_DN125852_c2_g1_i1	ID=Xetrov90000243mgName=LOC100486685]CT194_HUMANCT194_HUMANQ	Chr01	7605581	7666394	0.0997	0.1745	1.7501
TRINITY_DN125904_c7_g1_i2	ID=Xetrov90002613mgName=tmem55b]TM55B_XENLATM55B_XENLAQ	Chr01	130593011	130604161	0.0519	0.063	1.2133
TRINITY_DN125933_c0_g2_i1	ID=Xetrov90002197mgName=LOC100497789-like]FRDA_MOUSEFRDA_MOUSEQ	Chr01	114653922	114659128	0.1243	0.1841	1.4808
TRINITY_DN125935_c6_g1_i3	ID=Xetrov90001935mgName=nr2f6]NR2F6_MOUSENR2F6_MOUSEQ	Chr01	99514503	99532985	0.0128	0.0179	1.4028
TRINITY_DN125963_c0_g1_i3	ID=Xetrov90003302mgName=hsd17b4]DHB4_HUMANDHB4_HUMANQ	Chr01	161866343	161996634	0.0765	0.0952	1.2459
TRINITY_DN126031_c2_g2_i1	ID=Xetrov90001990mgName=abhd8]ABHD8_XENLAABHD8_XENLAQ	Chr01	101190060	101208480	0.0419	0.0566	1.35
TRINITY_DN126130_c0_g1_i4	ID=Xetrov90003364mgName=hmgcr-like]HMDH_XENLAHMDH_XENLAQ	Chr01	165629410	165649046	0.0526	0.0646	1.2277
TRINITY_DN126158_c1_g1_i2	ID=Xetrov90002798mgName=ankrd13a]AN13A_HUMANAN13A_HUMANQ	Chr01	138942447	138963187	0.0535	0.0697	1.3028
TRINITY_DN126172_c3_g1_i10	ID=Xetrov90001834mgName=ccng2]CCNG2_HUMANCCNG2_HUMANQ	Chr01	94888895	94910924	0.0507	0.0605	1.194
TRINITY_DN126183_c3_g2_i6	ID=Xetrov90001734mgName=ythdc1]YTDC1_HUMANYTDC1_HUMANQ	Chr01	88870724	88898887	0.0408	0.0671	1.6449
TRINITY_DN126202_c0_g1_i2	ID=Xetrov90003777mgName=lipg]LIPE_HUMANLIPE_HUMANQ	Chr01	191735667	191741921	0.0776	0.1374	1.7708
TRINITY_DN126229_c4_g1_i6	ID=Xetrov90002364mgName=LOC101734987]SPINZ_CHICKSPINZ_CHICKQ	Chr01	125357764	125381689	0.0082	0.0103	1.2612
TRINITY_DN126239_c2_g2_i7	ID=Xetrov90000236mgName=lzts3]LZTS3_HUMANLZTS3_HUMANQ	Chr01	6389111	6392968	0.0279	0.0556	1.9931
TRINITY_DN126240_c1_g2_i6	ID=Xetrov90001171mgName=bdh2-like]BDH2_LITCTBDH2_LITCTQ	Chr01	64083090	64096694	0.0283	0.0454	1.6056
TRINITY_DN126277_c0_g2_i1	ID=Xetrov90000111mgName=lrrtm1]LRRT1_BOVINLRRT1_BOVINQ	Chr01	3694236	3695801	0.0875	0.0699	0.7991
TRINITY_DN126284_c4_g1_i1	ID=Xetrov90000770mgName=neil3]NEIL3_HUMANNEIL3_HUMANQ	Chr01	38056089	38084928	0.1162	0.2183	1.8793
